Jour,Phrase,Position,Score
4,"«Manifeste», ça veut dire quoi dans le concret?",NEGATIVE,0.9428491592407227
4,"Bien, en fait, le terme «manifeste», ça veut dire que c'est un consentement qui est certain, indiscutable, qui est évident, mais ce n'est pas automatiquement un consentement qui va être exprès, là, qui va nécessiter vraiment un geste actif posé par la personne qui consent.",POSITIVE,0.9114601612091064
4,Puis ce que l'on a entendu... à 102 pour les entreprises privées.,NEGATIVE,0.923090398311615
4,"Merci de cette correction, ce qui nous amène quand même dans un horizon de 27 ans d'application, alors... Oui, mais la qualité de son application, c'est un peu n'importe quoi, c'est du gros n'importe quoi, puis on l'a vu, là, dans les exemples récents, là.",NEGATIVE,0.9828710556030273
4,Pas du tout?,NEGATIVE,0.9913869500160217
4,"Mais moi, je ne suis pas satisfait et rassuré à 100 %.",NEGATIVE,0.9871546030044556
4,"Je veux juste dire que, des fois, à réparer quelque chose qui ne semble pas être brisé, bien, on fait plus de tort que de bien.",NEGATIVE,0.9240354299545288
4,Puis là vous continuez avec «distinctement de toute autre information communiquée».,NEGATIVE,0.9271023869514465
4,"Je ne suis pas en mesure de suivre tous les travaux de la commission et, en effet, je n'avais pas capté... Pas de faute.",NEGATIVE,0.9163642525672913
4,Comment on met des balises pour que ce soit un consentement inefficace?,NEGATIVE,0.9574271440505981
4,"Parce que le processus législatif, il est complexe, alors que la CAI, avec son indépendance, avec sa compétence juridique... puis, là- dessus, moi, je le dis haut et fort, je pense que la CAI a démontré qu'elle avait une compétence juridique, que je ne questionne pas, moi, je pense qu'on aurait le meilleur des deux mondes.",POSITIVE,0.9228965044021606
4,"Ça, c'est une fin.",NEGATIVE,0.9486315250396729
4,Ça me plaît?,POSITIVE,0.9186335802078247
4,"Ça, c'est une fin qui ne me plaît pas.",NEGATIVE,0.9989783763885498
4,Tu fais de la collecte pour quoi?,NEGATIVE,0.954911470413208
4,"C'est quoi, là?",NEGATIVE,0.9962014555931091
4,"Et, juste pour savoir, parce que le ministre nous fait comprendre subtilement, mais pas tant que ça, qu'il s'en vient avec une amélioration... Pas tant que ça.",NEGATIVE,0.9654731154441833
4,"Comment on fait pour... Parce que, moi, je trouve ça très important, cette question-là du consentement.",POSITIVE,0.9596196413040161
4,Comment on fait pour travailler de manière productive et intelligente ensemble?,POSITIVE,0.9076594114303589
4,"Elle offre, oui, effectivement, une certaine souplesse qui, je pense, est correcte dans la loi, si et seulement si — et là je rejoins le collègue — d'une autre façon, on arrive à avoir ce resserrement-là qui offre une autorité certaine, en fait, oui, une autorité certaine à défaut d'une certaine autorité, mais qui a aussi cette indépendance d'action, qui a les moyens et qui, bientôt, aura les dents pour le faire.",POSITIVE,0.9424955248832703
4,"Je peux vous dire que les discussions, puis ce n'est pas des éléments confidentiels, je peux vous dire que Me Poitras s'est montrée ouverte à l'idée aussi, je pense qu'il y a une belle ouverture de la part de tout le monde pour s'assurer qu'on donne à la Commission d'accès à l'information tous les outils dont elle a besoin pour remplir l'important mandat qu'on lui confie.",POSITIVE,0.9727560877799988
4,"Et donc, sur le comment on procède, qu'est-ce que propose le ministre?",NEGATIVE,0.9031354188919067
4,"Je pense que, tel qu'il est là, dans la perspective globale de ce que la loi fait... parce que, n'oubliez pas, là, il y a d'autres articles qui vont traiter aussi du consentement dans d'autres aspects, là, c'est le premier article qui en traite puis ce n'est pas le dernier article.",POSITIVE,0.9349669814109802
4,"Donc, ce n'est pas la dernière fois et ce n'est pas le dernier article qui va en traiter, mais je pense qu'il donne une bonne idée de ce que le législateur souhaite maintenant sur la notion du consentement puis de comment ce consentement-là doit être exercé.",POSITIVE,0.9258927702903748
4,"Sur la question des lignes directrices, comme je vous dis, moi, je suis très, très positif par rapport à cette demande-là.",POSITIVE,0.9263128042221069
4,Je ne suis pas… Ah!,NEGATIVE,0.9359816312789917
4,"«Drop them.» Je ne pense pas que ça soit un flou intentionnel, là, ce n'est pas ça du tout.",NEGATIVE,0.9390857815742493
4,"Je veux juste qu'on... Non, non.",NEGATIVE,0.9441851377487183
4,"Et j'aurais plutôt tendance à donner raison à la CAI, en disant : Bon, bien, oui, émettez des lignes directrices, puis, par la pratique, et ancré dans une pratique plus quotidienne, venez préciser ces éléments-là, si tant est qu'ils ont besoin de l'être.",POSITIVE,0.9038783311843872
4,"Puis, ça, on n'aura pas de débat, personne, c'est clair.",NEGATIVE,0.906605064868927
